year,level_1,level_2,level_3,value
2015,Males,35 - 39,"Clementi- Total",3430
2015,Males,35 - 39,"Downtown Core- Total",170
2015,Males,35 - 39,"Geylang- Total",4180
2015,Males,35 - 39,"Hougang- Total",6980
2015,Males,35 - 39,"Jurong East- Total",2900
2015,Males,35 - 39,"Jurong West- Total",11660
2015,Males,35 - 39,"Kallang- Total",3980
2015,Males,35 - 39,"Mandai- Total",70
2015,Males,35 - 39,"Marine Parade- Total",1730
2015,Males,35 - 39,"Museum- Total",30
2015,Males,35 - 39,"Newton- Total",230
2015,Males,35 - 39,"Novena- Total",1780
2015,Males,35 - 39,"Orchard- Total",30
2015,Males,35 - 39,"Outram- Total",1040
2015,Males,35 - 39,"Pasir Ris- Total",4160
2015,Males,35 - 39,"Punggol- Total",6880
2015,Males,35 - 39,"Queenstown- Total",3520
2015,Males,35 - 39,"River Valley- Total",380
2015,Males,35 - 39,"Rochor- Total",660
2015,Males,35 - 39,"Seletar- Total",10
2015,Males,35 - 39,"Sembawang- Total",3400
2015,Males,35 - 39,"Sengkang- Total",10270
2015,Males,35 - 39,"Serangoon- Total",3490
2015,Males,35 - 39,"Singapore River- Total",180
2015,Males,35 - 39,"Southern Islands- Total",60
2015,Males,35 - 39,"Sungei Kadut- Total",20
2015,Males,35 - 39,"Tampines- Total",8730
2015,Males,35 - 39,"Tanglin- Total",670
2015,Males,35 - 39,"Toa Payoh- Total",4260
2015,Males,35 - 39,"Western Water Catchment- Total",40
2015,Males,35 - 39,"Woodlands- Total",9000
2015,Males,35 - 39,"Yishun- Total",7540
2015,Males,40 - 44,"Total",154460
2015,Males,40 - 44,"Ang Mo Kio- Total",6610
2015,Males,40 - 44,"Bedok- Total",10860
2015,Males,40 - 44,"Bishan- Total",3320
2015,Males,40 - 44,"Bukit Batok- Total",5300
2015,Males,40 - 44,"Bukit Merah- Total",6260
2015,Males,40 - 44,"Bukit Panjang- Total",5410
2015,Males,40 - 44,"Bukit Timah- Total",3050
2015,Males,40 - 44,"Changi- Total",150
2015,Males,40 - 44,"Choa Chu Kang- Total",6430
2015,Males,40 - 44,"Clementi- Total",3650
2015,Males,40 - 44,"Downtown Core- Total",190
2015,Males,40 - 44,"Geylang- Total",4460
2015,Males,40 - 44,"Hougang- Total",8120
2015,Males,40 - 44,"Jurong East- Total",3200
2015,Males,40 - 44,"Jurong West- Total",11800
2015,Males,40 - 44,"Kallang- Total",4290
2015,Males,40 - 44,"Mandai- Total",90
2015,Males,40 - 44,"Marine Parade- Total",2150
2015,Males,40 - 44,"Museum- Total",30
2015,Males,40 - 44,"Newton- Total",340
2015,Males,40 - 44,"Novena- Total",2200
2015,Males,40 - 44,"Orchard- Total",40
2015,Males,40 - 44,"Outram- Total",930
2015,Males,40 - 44,"Pasir Ris- Total",4940
2015,Males,40 - 44,"Punggol- Total",5630
2015,Males,40 - 44,"Queenstown- Total",3980
2015,Males,40 - 44,"River Valley- Total",500
2015,Males,40 - 44,"Rochor- Total",680
2015,Males,40 - 44,"Seletar- Total",20
2015,Males,40 - 44,"Sembawang- Total",3720
2015,Males,40 - 44,"Sengkang- Total",9790
2015,Males,40 - 44,"Serangoon- Total",3980
2015,Males,40 - 44,"Singapore River- Total",200
2015,Males,40 - 44,"Southern Islands- Total",70
2015,Males,40 - 44,"Sungei Kadut- Total",40
2015,Males,40 - 44,"Tampines- Total",8730
2015,Males,40 - 44,"Tanglin- Total",920
2015,Males,40 - 44,"Toa Payoh- Total",4850
2015,Males,40 - 44,"Western Water Catchment- Total",50
2015,Males,40 - 44,"Woodlands- Total",10010
2015,Males,40 - 44,"Yishun- Total",7480
2015,Males,45 - 49,"Total",149610
2015,Males,45 - 49,"Ang Mo Kio- Total",6340
2015,Males,45 - 49,"Bedok- Total",10600
2015,Males,45 - 49,"Bishan- Total",3220
2015,Males,45 - 49,"Bukit Batok- Total",5590
2015,Males,45 - 49,"Bukit Merah- Total",5790
2015,Males,45 - 49,"Bukit Panjang- Total",5240
2015,Males,45 - 49,"Bukit Timah- Total",3050
2015,Males,45 - 49,"Changi- Total",130
2015,Males,45 - 49,"Choa Chu Kang- Total",7680
2015,Males,45 - 49,"Clementi- Total",3390
2015,Males,45 - 49,"Downtown Core- Total",180
2015,Males,45 - 49,"Geylang- Total",4440
2015,Males,45 - 49,"Hougang- Total",8180
2015,Males,45 - 49,"Jurong East- Total",3170
2015,Males,45 - 49,"Jurong West- Total",11180
2015,Males,45 - 49,"Kallang- Total",4040
2015,Males,45 - 49,"Mandai- Total",80
2015,Males,45 - 49,"Marine Parade- Total",1910
2015,Males,45 - 49,"Museum- Total",10
2015,Males,45 - 49,"Newton- Total",330
2015,Males,45 - 49,"Novena- Total",1950
2015,Males,45 - 49,"Orchard- Total",40
2015,Males,45 - 49,"Outram- Total",770
2015,Males,45 - 49,"Pasir Ris- Total",5770
2015,Males,45 - 49,"Punggol- Total",3450
2015,Males,45 - 49,"Queenstown- Total",3630
2015,Males,45 - 49,"River Valley- Total",450
2015,Males,45 - 49,"Rochor- Total",560
2015,Males,45 - 49,"Seletar- Total",20
2015,Males,45 - 49,"Sembawang- Total",3150
2015,Males,45 - 49,"Sengkang- Total",7680
2015,Males,45 - 49,"Serangoon- Total",4080
2015,Males,45 - 49,"Singapore River- Total",140
2015,Males,45 - 49,"Southern Islands- Total",100
2015,Males,45 - 49,"Sungei Kadut- Total",40
2015,Males,45 - 49,"Tampines- Total",9260
2015,Males,45 - 49,"Tanglin- Total",880
2015,Males,45 - 49,"Toa Payoh- Total",4600
2015,Males,45 - 49,"Western Water Catchment- Total",30
2015,Males,45 - 49,"Woodlands- Total",11110
2015,Males,45 - 49,"Yishun- Total",7350
2015,Males,50 - 54,"Total",158470
2015,Males,50 - 54,"Ang Mo Kio- Total",7000
2015,Males,50 - 54,"Bedok- Total",11560
2015,Males,50 - 54,"Bishan- Total",3470
2015,Males,50 - 54,"Bukit Batok- Total",6000
2015,Males,50 - 54,"Bukit Merah- Total",5790
2015,Males,50 - 54,"Bukit Panjang- Total",5740
2015,Males,50 - 54,"Bukit Timah- Total",2770
2015,Males,50 - 54,"Changi- Total",80
2015,Males,50 - 54,"Choa Chu Kang- Total",8360
2015,Males,50 - 54,"Clementi- Total",3490
2015,Males,50 - 54,"Downtown Core- Total",160
2015,Males,50 - 54,"Geylang- Total",4990
2015,Males,50 - 54,"Hougang- Total",9790
2015,Males,50 - 54,"Jurong East- Total",3360
2015,Males,50 - 54,"Jurong West- Total",10940
2015,Males,50 - 54,"Kallang- Total",4130
2015,Males,50 - 54,"Mandai- Total",80
2015,Males,50 - 54,"Marine Parade- Total",1770
2015,Males,50 - 54,"Museum- Total",30
2015,Males,50 - 54,"Newton- Total",300
2015,Males,50 - 54,"Novena- Total",1870
2015,Males,50 - 54,"Orchard- Total",40
2015,Males,50 - 54,"Outram- Total",910
2015,Males,50 - 54,"Pasir Ris- Total",7250
2015,Males,50 - 54,"Punggol- Total",2890
2015,Males,50 - 54,"Queenstown- Total",3780
2015,Males,50 - 54,"River Valley- Total",350
2015,Males,50 - 54,"Rochor- Total",630
2015,Males,50 - 54,"Seletar- Total",20
2015,Males,50 - 54,"Sembawang- Total",2930
2015,Males,50 - 54,"Sengkang- Total",6890
2015,Males,50 - 54,"Serangoon- Total",4690
2015,Males,50 - 54,"Singapore River- Total",110
2015,Males,50 - 54,"Southern Islands- Total",110
2015,Males,50 - 54,"Sungei Kadut- Total",20
2015,Males,50 - 54,"Tampines- Total",10900
2015,Males,50 - 54,"Tanglin- Total",770
2015,Males,50 - 54,"Toa Payoh- Total",4800
2015,Males,50 - 54,"Western Water Catchment- Total",40
2015,Males,50 - 54,"Woodlands- Total",11060
2015,Males,50 - 54,"Yishun- Total",8580
2015,Males,55 - 59,"Total",147860
2015,Males,55 - 59,"Ang Mo Kio- Total",6680
2015,Males,55 - 59,"Bedok- Total",11500
2015,Males,55 - 59,"Bishan- Total",3750
2015,Males,55 - 59,"Bukit Batok- Total",5920
2015,Males,55 - 59,"Bukit Merah- Total",5960
2015,Males,55 - 59,"Bukit Panjang- Total",5530
2015,Males,55 - 59,"Bukit Timah- Total",2550
2015,Males,55 - 59,"Changi- Total",60
2015,Males,55 - 59,"Choa Chu Kang- Total",6830
2015,Males,55 - 59,"Clementi- Total",3030
2015,Males,55 - 59,"Downtown Core- Total",160
2015,Males,55 - 59,"Geylang- Total",5000
2015,Males,55 - 59,"Hougang- Total",9720
2015,Males,55 - 59,"Jurong East- Total",3450
2015,Males,55 - 59,"Jurong West- Total",9760
2015,Males,55 - 59,"Kallang- Total",4160
2015,Males,55 - 59,"Mandai- Total",70
2015,Males,55 - 59,"Marine Parade- Total",1680
2015,Males,55 - 59,"Museum- Total",10
2015,Males,55 - 59,"Newton- Total",230
2015,Males,55 - 59,"Novena- Total",1680
2015,Males,55 - 59,"Orchard- Total",40
2015,Males,55 - 59,"Outram- Total",910
2015,Males,55 - 59,"Pasir Ris- Total",5450
2015,Males,55 - 59,"Punggol- Total",2280
2015,Males,55 - 59,"Queenstown- Total",3200
2015,Males,55 - 59,"River Valley- Total",310
2015,Males,55 - 59,"Rochor- Total",610
2015,Males,55 - 59,"Seletar- Total",10
2015,Males,55 - 59,"Sembawang- Total",2470
2015,Males,55 - 59,"Sengkang- Total",6290
2015,Males,55 - 59,"Serangoon- Total",5180
2015,Males,55 - 59,"Singapore River- Total",70
2015,Males,55 - 59,"Southern Islands- Total",70
2015,Males,55 - 59,"Sungei Kadut- Total",40
2015,Males,55 - 59,"Tampines- Total",10960
2015,Males,55 - 59,"Tanglin- Total",610
2015,Males,55 - 59,"Toa Payoh- Total",4920
2015,Males,55 - 59,"Western Water Catchment- Total",40
2015,Males,55 - 59,"Woodlands- Total",8800
2015,Males,55 - 59,"Yishun- Total",7860
2015,Males,60 - 64,"Total",119660
2015,Males,60 - 64,"Ang Mo Kio- Total",6040
2015,Males,60 - 64,"Bedok- Total",10010
2015,Males,60 - 64,"Bishan- Total",3130
2015,Males,60 - 64,"Bukit Batok- Total",4770
2015,Males,60 - 64,"Bukit Merah- Total",5230
2015,Males,60 - 64,"Bukit Panjang- Total",4020
2015,Males,60 - 64,"Bukit Timah- Total",2210
2015,Males,60 - 64,"Changi- Total",60
2015,Males,60 - 64,"Choa Chu Kang- Total",4660
2015,Males,60 - 64,"Clementi- Total",2890
2015,Males,60 - 64,"Downtown Core- Total",110
2015,Males,60 - 64,"Geylang- Total",4100
2015,Males,60 - 64,"Hougang- Total",7670
2015,Males,60 - 64,"Jurong East- Total",3230
2015,Males,60 - 64,"Jurong West- Total",8050
2015,Males,60 - 64,"Kallang- Total",3610
2015,Males,60 - 64,"Mandai- Total",50
2015,Males,60 - 64,"Marine Parade- Total",1350
2015,Males,60 - 64,"Museum- Total",10
2015,Males,60 - 64,"Newton- Total",230
2015,Males,60 - 64,"Novena- Total",1380
2015,Males,60 - 64,"Orchard- Total",40
2015,Males,60 - 64,"Outram- Total",840
2015,Males,60 - 64,"Pasir Ris- Total",3720
2015,Males,60 - 64,"Punggol- Total",1830
2015,Males,60 - 64,"Queenstown- Total",2850
2015,Males,60 - 64,"River Valley- Total",260
2015,Males,60 - 64,"Rochor- Total",510
2015,Males,60 - 64,"Seletar- Total",10
2015,Males,60 - 64,"Sembawang- Total",1760
2015,Males,60 - 64,"Sengkang- Total",4610
2015,Males,60 - 64,"Serangoon- Total",4540
2015,Males,60 - 64,"Singapore River- Total",50
2015,Males,60 - 64,"Southern Islands- Total",40
2015,Males,60 - 64,"Sungei Kadut- Total",30
2015,Males,60 - 64,"Tampines- Total",8860
2015,Males,60 - 64,"Tanglin- Total",550
2015,Males,60 - 64,"Toa Payoh- Total",4000
2015,Males,60 - 64,"Western Water Catchment- Total",20
2015,Males,60 - 64,"Woodlands- Total",6110
2015,Males,60 - 64,"Yishun- Total",6250
2015,Males,65 - 69,"Total",88700
2015,Males,65 - 69,"Ang Mo Kio- Total",5240
2015,Males,65 - 69,"Bedok- Total",8180
2015,Males,65 - 69,"Bishan- Total",2340
2015,Males,65 - 69,"Bukit Batok- Total",3010
2015,Males,65 - 69,"Bukit Merah- Total",4590
2015,Males,65 - 69,"Bukit Panjang- Total",2630
2015,Males,65 - 69,"Bukit Timah- Total",1930
2015,Males,65 - 69,"Changi- Total",50
2015,Males,65 - 69,"Choa Chu Kang- Total",2830
2015,Males,65 - 69,"Clementi- Total",2900
2015,Males,65 - 69,"Downtown Core- Total",120
2015,Males,65 - 69,"Geylang- Total",3140
2015,Males,65 - 69,"Hougang- Total",5420
2015,Males,65 - 69,"Jurong East- Total",2390
2015,Males,65 - 69,"Jurong West- Total",5610
2015,Males,65 - 69,"Kallang- Total",3030
2015,Males,65 - 69,"Mandai- Total",40
2015,Males,65 - 69,"Marine Parade- Total",1250
2015,Males,65 - 69,"Museum- Total",10
2015,Males,65 - 69,"Newton- Total",190
2015,Males,65 - 69,"Novena- Total",1160
2015,Males,65 - 69,"Orchard- Total",30
2015,Males,65 - 69,"Outram- Total",760
2015,Males,65 - 69,"Pasir Ris- Total",2210
2015,Males,65 - 69,"Punggol- Total",1420
2015,Males,65 - 69,"Queenstown- Total",2570
2015,Males,65 - 69,"River Valley- Total",230
2015,Males,65 - 69,"Rochor- Total",420
2015,Males,65 - 69,"Sembawang- Total",1070
2015,Males,65 - 69,"Sengkang- Total",3090
2015,Males,65 - 69,"Serangoon- Total",3330
2015,Males,65 - 69,"Singapore River- Total",50
2015,Males,65 - 69,"Southern Islands- Total",20
2015,Males,65 - 69,"Sungei Kadut- Total",30
2015,Males,65 - 69,"Tampines- Total",5750
2015,Males,65 - 69,"Tanglin- Total",460
2015,Males,65 - 69,"Toa Payoh- Total",3340
2015,Males,65 - 69,"Western Water Catchment- Total",10
2015,Males,65 - 69,"Woodlands- Total",3760
2015,Males,65 - 69,"Yishun- Total",4080
2015,Males,70 - 74,"Total",47780
2015,Males,70 - 74,"Ang Mo Kio- Total",3070
2015,Males,70 - 74,"Bedok- Total",4430
2015,Males,70 - 74,"Bishan- Total",1270
2015,Males,70 - 74,"Bukit Batok- Total",1470
2015,Males,70 - 74,"Bukit Merah- Total",2910
2015,Males,70 - 74,"Bukit Panjang- Total",1280
2015,Males,70 - 74,"Bukit Timah- Total",1140
2015,Males,70 - 74,"Changi- Total",30
2015,Males,70 - 74,"Choa Chu Kang- Total",1400
2015,Males,70 - 74,"Clementi- Total",1610
2015,Males,70 - 74,"Downtown Core- Total",70
2015,Males,70 - 74,"Geylang- Total",1840
2015,Males,70 - 74,"Hougang- Total",2810
2015,Males,70 - 74,"Jurong East- Total",1190
2015,Males,70 - 74,"Jurong West- Total",2540
2015,Males,70 - 74,"Kallang- Total",1880
2015,Males,70 - 74,"Mandai- Total",30
2015,Males,70 - 74,"Marine Parade- Total",800
2015,Males,70 - 74,"Newton- Total",90
2015,Males,70 - 74,"Novena- Total",740
2015,Males,70 - 74,"Orchard- Total",20
2015,Males,70 - 74,"Outram- Total",470
2015,Males,70 - 74,"Pasir Ris- Total",1040
2015,Males,70 - 74,"Punggol- Total",700
2015,Males,70 - 74,"Queenstown- Total",1630
2015,Males,70 - 74,"River Valley- Total",120
2015,Males,70 - 74,"Rochor- Total",300
2015,Males,70 - 74,"Sembawang- Total",560
2015,Males,70 - 74,"Sengkang- Total",1570
2015,Males,70 - 74,"Serangoon- Total",1690
2015,Males,70 - 74,"Singapore River- Total",30
2015,Males,70 - 74,"Southern Islands- Total",10
2015,Males,70 - 74,"Sungei Kadut- Total",20
2015,Males,70 - 74,"Tampines- Total",2530
2015,Males,70 - 74,"Tanglin- Total",270
2015,Males,70 - 74,"Toa Payoh- Total",2210
2015,Males,70 - 74,"Western Water Catchment- Total",10
2015,Males,70 - 74,"Woodlands- Total",1870
2015,Males,70 - 74,"Yishun- Total",2110
2015,Males,75 - 79,"Total",36130
2015,Males,75 - 79,"Ang Mo Kio- Total",2340
2015,Males,75 - 79,"Bedok- Total",3270
2015,Males,75 - 79,"Bishan- Total",960
2015,Males,75 - 79,"Bukit Batok- Total",1060
2015,Males,75 - 79,"Bukit Merah- Total",2480
2015,Males,75 - 79,"Bukit Panjang- Total",890
2015,Males,75 - 79,"Bukit Timah- Total",850
2015,Males,75 - 79,"Changi- Total",10
2015,Males,75 - 79,"Choa Chu Kang- Total",980
2015,Males,75 - 79,"Clementi- Total",1210
2015,Males,75 - 79,"Downtown Core- Total",60
2015,Males,75 - 79,"Geylang- Total",1450
2015,Males,75 - 79,"Hougang- Total",2100
2015,Males,75 - 79,"Jurong East- Total",760
2015,Males,75 - 79,"Jurong West- Total",1680
2015,Males,75 - 79,"Kallang- Total",1590
2015,Males,75 - 79,"Mandai- Total",20
2015,Males,75 - 79,"Marine Parade- Total",730
2015,Males,75 - 79,"Newton- Total",70
2015,Males,75 - 79,"Novena- Total",590
2015,Males,75 - 79,"Orchard- Total",10
2015,Males,75 - 79,"Outram- Total",400
2015,Males,75 - 79,"Pasir Ris- Total",790
2015,Males,75 - 79,"Punggol- Total",460
2015,Males,75 - 79,"Queenstown- Total",1550
2015,Males,75 - 79,"River Valley- Total",80
2015,Males,75 - 79,"Rochor- Total",230
2015,Males,75 - 79,"Sembawang- Total",400
2015,Males,75 - 79,"Sengkang- Total",1020
2015,Males,75 - 79,"Serangoon- Total",1300
2015,Males,75 - 79,"Singapore River- Total",20
2015,Males,75 - 79,"Southern Islands- Total",10
2015,Males,75 - 79,"Sungei Kadut- Total",20
2015,Males,75 - 79,"Tampines- Total",1830
2015,Males,75 - 79,"Tanglin- Total",170
2015,Males,75 - 79,"Toa Payoh- Total",1910
2015,Males,75 - 79,"Woodlands- Total",1380
2015,Males,75 - 79,"Yishun- Total",1440
2015,Males,80 - 84,"Total",20930
2015,Males,80 - 84,"Ang Mo Kio- Total",1340
2015,Males,80 - 84,"Bedok- Total",1920
2015,Males,80 - 84,"Bishan- Total",530
2015,Males,80 - 84,"Bukit Batok- Total",580
2015,Males,80 - 84,"Bukit Merah- Total",1470
2015,Males,80 - 84,"Bukit Panjang- Total",520
2015,Males,80 - 84,"Bukit Timah- Total",560
2015,Males,80 - 84,"Changi- Total",10
2015,Males,80 - 84,"Choa Chu Kang- Total",550
2015,Males,80 - 84,"Clementi- Total",610
2015,Males,80 - 84,"Downtown Core- Total",20
2015,Males,80 - 84,"Geylang- Total",920
2015,Males,80 - 84,"Hougang- Total",1200
2015,Males,80 - 84,"Jurong East- Total",440
2015,Males,80 - 84,"Jurong West- Total",830
2015,Males,80 - 84,"Kallang- Total",920
2015,Males,80 - 84,"Mandai- Total",10
2015,Males,80 - 84,"Marine Parade- Total",430
2015,Males,80 - 84,"Museum- Total",10
2015,Males,80 - 84,"Newton- Total",60
2015,Males,80 - 84,"Novena- Total",400
2015,Males,80 - 84,"Outram- Total",240
2015,Males,80 - 84,"Pasir Ris- Total",510
2015,Males,80 - 84,"Punggol- Total",270
2015,Males,80 - 84,"Queenstown- Total",980
2015,Males,80 - 84,"River Valley- Total",50
2015,Males,80 - 84,"Rochor- Total",180
2015,Males,80 - 84,"Sembawang- Total",240
2015,Males,80 - 84,"Sengkang- Total",490
2015,Males,80 - 84,"Serangoon- Total",790
2015,Males,80 - 84,"Singapore River- Total",10
2015,Males,80 - 84,"Sungei Kadut- Total",10
2015,Males,80 - 84,"Tampines- Total",1050
2015,Males,80 - 84,"Tanglin- Total",120
2015,Males,80 - 84,"Toa Payoh- Total",1120
2015,Males,80 - 84,"Woodlands- Total",790
2015,Males,80 - 84,"Yishun- Total",770
2015,Males,85 & Over,"Total",14000
2015,Males,85 & Over,"Ang Mo Kio- Total",770
2015,Males,85 & Over,"Bedok- Total",1310
2015,Males,85 & Over,"Bishan- Total",320
2015,Males,85 & Over,"Bukit Batok- Total",370
2015,Males,85 & Over,"Bukit Merah- Total",1040
2015,Males,85 & Over,"Bukit Panjang- Total",320
2015,Males,85 & Over,"Bukit Timah- Total",370
2015,Males,85 & Over,"Changi- Total",10
2015,Males,85 & Over,"Choa Chu Kang- Total",340
2015,Males,85 & Over,"Clementi- Total",410
2015,Males,85 & Over,"Downtown Core- Total",80
2015,Males,85 & Over,"Geylang- Total",670
2015,Males,85 & Over,"Hougang- Total",720
2015,Males,85 & Over,"Jurong East- Total",260
2015,Males,85 & Over,"Jurong West- Total",480
2015,Males,85 & Over,"Kallang- Total",690
2015,Males,85 & Over,"Mandai- Total",10
2015,Males,85 & Over,"Marine Parade- Total",320
2015,Males,85 & Over,"Museum- Total",10
2015,Males,85 & Over,"Newton- Total",50
2015,Males,85 & Over,"Novena- Total",320
2015,Males,85 & Over,"Orchard- Total",10
2015,Males,85 & Over,"Outram- Total",210
2015,Males,85 & Over,"Pasir Ris- Total",330
2015,Males,85 & Over,"Punggol- Total",140
2015,Males,85 & Over,"Queenstown- Total",640
2015,Males,85 & Over,"River Valley- Total",50
2015,Males,85 & Over,"Rochor- Total",240
2015,Males,85 & Over,"Sembawang- Total",160
2015,Males,85 & Over,"Sengkang- Total",330
2015,Males,85 & Over,"Serangoon- Total",510
2015,Males,85 & Over,"Singapore River- Total",20
2015,Males,85 & Over,"Sungei Kadut- Total",10
2015,Males,85 & Over,"Tampines- Total",660
2015,Males,85 & Over,"Tanglin- Total",110
2015,Males,85 & Over,"Toa Payoh- Total",820
2015,Males,85 & Over,"Woodlands- Total",440
2015,Males,85 & Over,"Yishun- Total",470
2015,Females,Total,"Total",1986060
2015,Females,Total,"Ang Mo Kio- Total",90550
2015,Females,Total,"Bedok- Total",148530
2015,Females,Total,"Bishan- Total",46590
2015,Females,Total,"Bukit Batok- Total",70610
2015,Females,Total,"Bukit Merah- Total",80390
2015,Females,Total,"Bukit Panjang- Total",69870
2015,Females,Total,"Bukit Timah- Total",39810
2015,Females,Total,"Changi- Total",1230
2015,Females,Total,"Choa Chu Kang- Total",87340
2015,Females,Total,"Clementi- Total",47760
2015,Females,Total,"Downtown Core- Total",1860
2015,Females,Total,"Geylang- Total",58870
2015,Females,Total,"Hougang- Total",112750
2015,Females,Total,"Jurong East- Total",42710
2015,Females,Total,"Jurong West- Total",135110
2015,Females,Total,"Kallang- Total",50800
2015,Females,Total,"Mandai- Total",1120
2015,Females,Total,"Marine Parade- Total",25770
2015,Females,Total,"Museum- Total",190
2015,Females,Total,"Newton- Total",3680
2015,Females,Total,"Novena- Total",24830
2015,Females,Total,"Orchard- Total",500
2015,Females,Total,"Outram- Total",10980
2015,Females,Total,"Pasir Ris- Total",70740
2015,Females,Total,"Punggol- Total",55650
2015,Females,Total,"Queenstown- Total",51820
2015,Females,Total,"River Valley- Total",4930
2015,Females,Total,"Rochor- Total",7180
2015,Females,Total,"Seletar- Total",140
2015,Females,Total,"Sembawang- Total",38620
2015,Females,Total,"Sengkang- Total",104890
2015,Females,Total,"Serangoon- Total",62290
2015,Females,Total,"Singapore River- Total",1410
2015,Females,Total,"Southern Islands- Total",760
2015,Females,Total,"Sungei Kadut- Total",420
2015,Females,Total,"Tampines- Total",133030
2015,Females,Total,"Tanglin- Total",10230
2015,Females,Total,"Toa Payoh- Total",65100
2015,Females,Total,"Western Water Catchment- Total",500
2015,Females,Total,"Woodlands- Total",124380
2015,Females,Total,"Yishun- Total",101980
2015,Females,0 - 4,"Total",89720
2015,Females,0 - 4,"Ang Mo Kio- Total",3310
2015,Females,0 - 4,"Bedok- Total",5760
2015,Females,0 - 4,"Bishan- Total",1630
2015,Females,0 - 4,"Bukit Batok- Total",2680
2015,Females,0 - 4,"Bukit Merah- Total",3530
2015,Females,0 - 4,"Bukit Panjang- Total",3550
2015,Females,0 - 4,"Bukit Timah- Total",1610
2015,Females,0 - 4,"Changi- Total",90
2015,Females,0 - 4,"Choa Chu Kang- Total",3530
2015,Females,0 - 4,"Clementi- Total",1940
2015,Females,0 - 4,"Downtown Core- Total",70
2015,Females,0 - 4,"Geylang- Total",2190
2015,Females,0 - 4,"Hougang- Total",4110
2015,Females,0 - 4,"Jurong East- Total",1620
2015,Females,0 - 4,"Jurong West- Total",6740
2015,Females,0 - 4,"Kallang- Total",2120
2015,Females,0 - 4,"Mandai- Total",40
2015,Females,0 - 4,"Marine Parade- Total",1050
2015,Females,0 - 4,"Museum- Total",10
2015,Females,0 - 4,"Newton- Total",160
2015,Females,0 - 4,"Novena- Total",1120
2015,Females,0 - 4,"Orchard- Total",20
2015,Females,0 - 4,"Outram- Total",690
2015,Females,0 - 4,"Pasir Ris- Total",2800
2015,Females,0 - 4,"Punggol- Total",5860
2015,Females,0 - 4,"Queenstown- Total",2140
2015,Females,0 - 4,"River Valley- Total",230
2015,Females,0 - 4,"Rochor- Total",280
2015,Females,0 - 4,"Sembawang- Total",2190
2015,Females,0 - 4,"Sengkang- Total",7460
2015,Females,0 - 4,"Serangoon- Total",1980
2015,Females,0 - 4,"Singapore River- Total",120
2015,Females,0 - 4,"Southern Islands- Total",40
2015,Females,0 - 4,"Sungei Kadut- Total",10
2015,Females,0 - 4,"Tampines- Total",5360
2015,Females,0 - 4,"Tanglin- Total",480
2015,Females,0 - 4,"Toa Payoh- Total",2430
2015,Females,0 - 4,"Western Water Catchment- Total",20
2015,Females,0 - 4,"Woodlands- Total",5770
2015,Females,0 - 4,"Yishun- Total",4990
2015,Females,5 - 9,"Total",100590
2015,Females,5 - 9,"Ang Mo Kio- Total",3780
2015,Females,5 - 9,"Bedok- Total",6650
2015,Females,5 - 9,"Bishan- Total",2040
2015,Females,5 - 9,"Bukit Batok- Total",3440
2015,Females,5 - 9,"Bukit Merah- Total",3720
2015,Females,5 - 9,"Bukit Panjang- Total",3770
2015,Females,5 - 9,"Bukit Timah- Total",2640
2015,Females,5 - 9,"Changi- Total",110
2015,Females,5 - 9,"Choa Chu Kang- Total",4500
2015,Females,5 - 9,"Clementi- Total",2160
2015,Females,5 - 9,"Downtown Core- Total",50
2015,Females,5 - 9,"Geylang- Total",2540
2015,Females,5 - 9,"Hougang- Total",5020
2015,Females,5 - 9,"Jurong East- Total",1910
2015,Females,5 - 9,"Jurong West- Total",7780
2015,Females,5 - 9,"Kallang- Total",2200
2015,Females,5 - 9,"Mandai- Total",70
2015,Females,5 - 9,"Marine Parade- Total",1380
2015,Females,5 - 9,"Museum- Total",10
2015,Females,5 - 9,"Newton- Total",210
2015,Females,5 - 9,"Novena- Total",1240
2015,Females,5 - 9,"Orchard- Total",30
2015,Females,5 - 9,"Outram- Total",550
2015,Females,5 - 9,"Pasir Ris- Total",3440
2015,Females,5 - 9,"Punggol- Total",4460
2015,Females,5 - 9,"Queenstown- Total",2230
2015,Females,5 - 9,"River Valley- Total",300
2015,Females,5 - 9,"Rochor- Total",290
2015,Females,5 - 9,"Seletar- Total",10
2015,Females,5 - 9,"Sembawang- Total",2640
2015,Females,5 - 9,"Sengkang- Total",7480
2015,Females,5 - 9,"Serangoon- Total",2480
2015,Females,5 - 9,"Singapore River- Total",90
2015,Females,5 - 9,"Southern Islands- Total",50
2015,Females,5 - 9,"Sungei Kadut- Total",10
2015,Females,5 - 9,"Tampines- Total",5940
2015,Females,5 - 9,"Tanglin- Total",720
2015,Females,5 - 9,"Toa Payoh- Total",2720
2015,Females,5 - 9,"Western Water Catchment- Total",20
2015,Females,5 - 9,"Woodlands- Total",7030
2015,Females,5 - 9,"Yishun- Total",4890
2015,Females,10 - 14,"Total",104990
2015,Females,10 - 14,"Ang Mo Kio- Total",4090
2015,Females,10 - 14,"Bedok- Total",7290
2015,Females,10 - 14,"Bishan- Total",2220
2015,Females,10 - 14,"Bukit Batok- Total",3950
2015,Females,10 - 14,"Bukit Merah- Total",3220
2015,Females,10 - 14,"Bukit Panjang- Total",4120
2015,Females,10 - 14,"Bukit Timah- Total",2560
2015,Females,10 - 14,"Changi- Total",100
2015,Females,10 - 14,"Choa Chu Kang- Total",5680
