year,level_1,level_2,level_3,value
2015,Total,25 - 29,"Clementi- Total",5820
2015,Total,25 - 29,"Downtown Core- Total",210
2015,Total,25 - 29,"Geylang- Total",8130
2015,Total,25 - 29,"Hougang- Total",16650
2015,Total,25 - 29,"Jurong East- Total",6570
2015,Total,25 - 29,"Jurong West- Total",19930
2015,Total,25 - 29,"Kallang- Total",6120
2015,Total,25 - 29,"Mandai- Total",140
2015,Total,25 - 29,"Marine Parade- Total",2610
2015,Total,25 - 29,"Museum- Total",10
2015,Total,25 - 29,"Newton- Total",340
2015,Total,25 - 29,"Novena- Total",2640
2015,Total,25 - 29,"Orchard- Total",50
2015,Total,25 - 29,"Outram- Total",1160
2015,Total,25 - 29,"Pasir Ris- Total",9100
2015,Total,25 - 29,"Punggol- Total",6750
2015,Total,25 - 29,"Queenstown- Total",6150
2015,Total,25 - 29,"River Valley- Total",500
2015,Total,25 - 29,"Rochor- Total",890
2015,Total,25 - 29,"Seletar- Total",10
2015,Total,25 - 29,"Sembawang- Total",5120
2015,Total,25 - 29,"Sengkang- Total",14330
2015,Total,25 - 29,"Serangoon- Total",9040
2015,Total,25 - 29,"Singapore River- Total",90
2015,Total,25 - 29,"Southern Islands- Total",70
2015,Total,25 - 29,"Sungei Kadut- Total",50
2015,Total,25 - 29,"Tampines- Total",20420
2015,Total,25 - 29,"Tanglin- Total",880
2015,Total,25 - 29,"Toa Payoh- Total",7620
2015,Total,25 - 29,"Western Water Catchment- Total",80
2015,Total,25 - 29,"Woodlands- Total",17920
2015,Total,25 - 29,"Yishun- Total",17010
2015,Total,30 - 34,"Total",290620
2015,Total,30 - 34,"Ang Mo Kio- Total",12250
2015,Total,30 - 34,"Bedok- Total",19270
2015,Total,30 - 34,"Bishan- Total",5720
2015,Total,30 - 34,"Bukit Batok- Total",9760
2015,Total,30 - 34,"Bukit Merah- Total",11070
2015,Total,30 - 34,"Bukit Panjang- Total",10690
2015,Total,30 - 34,"Bukit Timah- Total",3770
2015,Total,30 - 34,"Changi- Total",170
2015,Total,30 - 34,"Choa Chu Kang- Total",11540
2015,Total,30 - 34,"Clementi- Total",6630
2015,Total,30 - 34,"Downtown Core- Total",330
2015,Total,30 - 34,"Geylang- Total",8180
2015,Total,30 - 34,"Hougang- Total",15010
2015,Total,30 - 34,"Jurong East- Total",6360
2015,Total,30 - 34,"Jurong West- Total",22540
2015,Total,30 - 34,"Kallang- Total",7250
2015,Total,30 - 34,"Mandai- Total",150
2015,Total,30 - 34,"Marine Parade- Total",2880
2015,Total,30 - 34,"Museum- Total",40
2015,Total,30 - 34,"Newton- Total",400
2015,Total,30 - 34,"Novena- Total",3030
2015,Total,30 - 34,"Orchard- Total",60
2015,Total,30 - 34,"Outram- Total",1680
2015,Total,30 - 34,"Pasir Ris- Total",7980
2015,Total,30 - 34,"Punggol- Total",15690
2015,Total,30 - 34,"Queenstown- Total",7110
2015,Total,30 - 34,"River Valley- Total",640
2015,Total,30 - 34,"Rochor- Total",1050
2015,Total,30 - 34,"Sembawang- Total",6380
2015,Total,30 - 34,"Sengkang- Total",21130
2015,Total,30 - 34,"Serangoon- Total",7510
2015,Total,30 - 34,"Singapore River- Total",280
2015,Total,30 - 34,"Southern Islands- Total",60
2015,Total,30 - 34,"Sungei Kadut- Total",50
2015,Total,30 - 34,"Tampines- Total",18820
2015,Total,30 - 34,"Tanglin- Total",1140
2015,Total,30 - 34,"Toa Payoh- Total",8440
2015,Total,30 - 34,"Western Water Catchment- Total",40
2015,Total,30 - 34,"Woodlands- Total",18460
2015,Total,30 - 34,"Yishun- Total",17040
2015,Total,35 - 39,"Total",301070
2015,Total,35 - 39,"Ang Mo Kio- Total",13070
2015,Total,35 - 39,"Bedok- Total",20850
2015,Total,35 - 39,"Bishan- Total",6000
2015,Total,35 - 39,"Bukit Batok- Total",9940
2015,Total,35 - 39,"Bukit Merah- Total",12840
2015,Total,35 - 39,"Bukit Panjang- Total",10010
2015,Total,35 - 39,"Bukit Timah- Total",4940
2015,Total,35 - 39,"Changi- Total",240
2015,Total,35 - 39,"Choa Chu Kang- Total",11960
2015,Total,35 - 39,"Clementi- Total",7310
2015,Total,35 - 39,"Downtown Core- Total",370
2015,Total,35 - 39,"Geylang- Total",8720
2015,Total,35 - 39,"Hougang- Total",14840
2015,Total,35 - 39,"Jurong East- Total",6070
2015,Total,35 - 39,"Jurong West- Total",23410
2015,Total,35 - 39,"Kallang- Total",8260
2015,Total,35 - 39,"Mandai- Total",170
2015,Total,35 - 39,"Marine Parade- Total",3860
2015,Total,35 - 39,"Museum- Total",60
2015,Total,35 - 39,"Newton- Total",580
2015,Total,35 - 39,"Novena- Total",3980
2015,Total,35 - 39,"Orchard- Total",70
2015,Total,35 - 39,"Outram- Total",2140
2015,Total,35 - 39,"Pasir Ris- Total",9090
2015,Total,35 - 39,"Punggol- Total",13400
2015,Total,35 - 39,"Queenstown- Total",7650
2015,Total,35 - 39,"River Valley- Total",870
2015,Total,35 - 39,"Rochor- Total",1270
2015,Total,35 - 39,"Seletar- Total",20
2015,Total,35 - 39,"Sembawang- Total",7200
2015,Total,35 - 39,"Sengkang- Total",21090
2015,Total,35 - 39,"Serangoon- Total",7460
2015,Total,35 - 39,"Singapore River- Total",360
2015,Total,35 - 39,"Southern Islands- Total",120
2015,Total,35 - 39,"Sungei Kadut- Total",40
2015,Total,35 - 39,"Tampines- Total",18000
2015,Total,35 - 39,"Tanglin- Total",1580
2015,Total,35 - 39,"Toa Payoh- Total",9040
2015,Total,35 - 39,"Western Water Catchment- Total",90
2015,Total,35 - 39,"Woodlands- Total",18680
2015,Total,35 - 39,"Yishun- Total",15420
2015,Total,40 - 44,"Total",316760
2015,Total,40 - 44,"Ang Mo Kio- Total",13710
2015,Total,40 - 44,"Bedok- Total",22520
2015,Total,40 - 44,"Bishan- Total",7070
2015,Total,40 - 44,"Bukit Batok- Total",10980
2015,Total,40 - 44,"Bukit Merah- Total",12730
2015,Total,40 - 44,"Bukit Panjang- Total",11180
2015,Total,40 - 44,"Bukit Timah- Total",6630
2015,Total,40 - 44,"Changi- Total",290
2015,Total,40 - 44,"Choa Chu Kang- Total",13710
2015,Total,40 - 44,"Clementi- Total",7600
2015,Total,40 - 44,"Downtown Core- Total",360
2015,Total,40 - 44,"Geylang- Total",9000
2015,Total,40 - 44,"Hougang- Total",16700
2015,Total,40 - 44,"Jurong East- Total",6530
2015,Total,40 - 44,"Jurong West- Total",23070
2015,Total,40 - 44,"Kallang- Total",8610
2015,Total,40 - 44,"Mandai- Total",190
2015,Total,40 - 44,"Marine Parade- Total",4580
2015,Total,40 - 44,"Museum- Total",50
2015,Total,40 - 44,"Newton- Total",740
2015,Total,40 - 44,"Novena- Total",4510
2015,Total,40 - 44,"Orchard- Total",90
2015,Total,40 - 44,"Outram- Total",1730
2015,Total,40 - 44,"Pasir Ris- Total",10360
2015,Total,40 - 44,"Punggol- Total",10610
2015,Total,40 - 44,"Queenstown- Total",8050
2015,Total,40 - 44,"River Valley- Total",1050
2015,Total,40 - 44,"Rochor- Total",1260
2015,Total,40 - 44,"Seletar- Total",40
2015,Total,40 - 44,"Sembawang- Total",7650
2015,Total,40 - 44,"Sengkang- Total",19230
2015,Total,40 - 44,"Serangoon- Total",8540
2015,Total,40 - 44,"Singapore River- Total",410
2015,Total,40 - 44,"Southern Islands- Total",160
2015,Total,40 - 44,"Sungei Kadut- Total",60
2015,Total,40 - 44,"Tampines- Total",18310
2015,Total,40 - 44,"Tanglin- Total",1990
2015,Total,40 - 44,"Toa Payoh- Total",10140
2015,Total,40 - 44,"Western Water Catchment- Total",100
2015,Total,40 - 44,"Woodlands- Total",21110
2015,Total,40 - 44,"Yishun- Total",15110
2015,Total,45 - 49,"Total",303410
2015,Total,45 - 49,"Ang Mo Kio- Total",13000
2015,Total,45 - 49,"Bedok- Total",21460
2015,Total,45 - 49,"Bishan- Total",6800
2015,Total,45 - 49,"Bukit Batok- Total",11310
2015,Total,45 - 49,"Bukit Merah- Total",11320
2015,Total,45 - 49,"Bukit Panjang- Total",10540
2015,Total,45 - 49,"Bukit Timah- Total",6330
2015,Total,45 - 49,"Changi- Total",220
2015,Total,45 - 49,"Choa Chu Kang- Total",15990
2015,Total,45 - 49,"Clementi- Total",6950
2015,Total,45 - 49,"Downtown Core- Total",330
2015,Total,45 - 49,"Geylang- Total",8790
2015,Total,45 - 49,"Hougang- Total",17010
2015,Total,45 - 49,"Jurong East- Total",6240
2015,Total,45 - 49,"Jurong West- Total",21680
2015,Total,45 - 49,"Kallang- Total",7770
2015,Total,45 - 49,"Mandai- Total",180
2015,Total,45 - 49,"Marine Parade- Total",3830
2015,Total,45 - 49,"Museum- Total",30
2015,Total,45 - 49,"Newton- Total",660
2015,Total,45 - 49,"Novena- Total",3910
2015,Total,45 - 49,"Orchard- Total",80
2015,Total,45 - 49,"Outram- Total",1470
2015,Total,45 - 49,"Pasir Ris- Total",12960
2015,Total,45 - 49,"Punggol- Total",6500
2015,Total,45 - 49,"Queenstown- Total",7610
2015,Total,45 - 49,"River Valley- Total",870
2015,Total,45 - 49,"Rochor- Total",1060
2015,Total,45 - 49,"Seletar- Total",30
2015,Total,45 - 49,"Sembawang- Total",6110
2015,Total,45 - 49,"Sengkang- Total",14700
2015,Total,45 - 49,"Serangoon- Total",8770
2015,Total,45 - 49,"Singapore River- Total",270
2015,Total,45 - 49,"Southern Islands- Total",200
2015,Total,45 - 49,"Sungei Kadut- Total",60
2015,Total,45 - 49,"Tampines- Total",19840
2015,Total,45 - 49,"Tanglin- Total",1800
2015,Total,45 - 49,"Toa Payoh- Total",9440
2015,Total,45 - 49,"Western Water Catchment- Total",60
2015,Total,45 - 49,"Woodlands- Total",22230
2015,Total,45 - 49,"Yishun- Total",14950
2015,Total,50 - 54,"Total",315090
2015,Total,50 - 54,"Ang Mo Kio- Total",14010
2015,Total,50 - 54,"Bedok- Total",23430
2015,Total,50 - 54,"Bishan- Total",7540
2015,Total,50 - 54,"Bukit Batok- Total",12190
2015,Total,50 - 54,"Bukit Merah- Total",11320
2015,Total,50 - 54,"Bukit Panjang- Total",11620
2015,Total,50 - 54,"Bukit Timah- Total",5820
2015,Total,50 - 54,"Changi- Total",140
2015,Total,50 - 54,"Choa Chu Kang- Total",16190
2015,Total,50 - 54,"Clementi- Total",6960
2015,Total,50 - 54,"Downtown Core- Total",280
2015,Total,50 - 54,"Geylang- Total",9610
2015,Total,50 - 54,"Hougang- Total",19620
2015,Total,50 - 54,"Jurong East- Total",6720
2015,Total,50 - 54,"Jurong West- Total",20670
2015,Total,50 - 54,"Kallang- Total",7820
2015,Total,50 - 54,"Mandai- Total",170
2015,Total,50 - 54,"Marine Parade- Total",3680
2015,Total,50 - 54,"Museum- Total",40
2015,Total,50 - 54,"Newton- Total",610
2015,Total,50 - 54,"Novena- Total",3710
2015,Total,50 - 54,"Orchard- Total",70
2015,Total,50 - 54,"Outram- Total",1590
2015,Total,50 - 54,"Pasir Ris- Total",14080
2015,Total,50 - 54,"Punggol- Total",5540
2015,Total,50 - 54,"Queenstown- Total",7500
2015,Total,50 - 54,"River Valley- Total",670
2015,Total,50 - 54,"Rochor- Total",1110
2015,Total,50 - 54,"Seletar- Total",40
2015,Total,50 - 54,"Sembawang- Total",5670
2015,Total,50 - 54,"Sengkang- Total",13630
2015,Total,50 - 54,"Serangoon- Total",10040
2015,Total,50 - 54,"Singapore River- Total",190
2015,Total,50 - 54,"Southern Islands- Total",180
2015,Total,50 - 54,"Sungei Kadut- Total",50
2015,Total,50 - 54,"Tampines- Total",22810
2015,Total,50 - 54,"Tanglin- Total",1530
2015,Total,50 - 54,"Toa Payoh- Total",9730
2015,Total,50 - 54,"Western Water Catchment- Total",60
2015,Total,50 - 54,"Woodlands- Total",21060
2015,Total,50 - 54,"Yishun- Total",17360
2015,Total,55 - 59,"Total",295060
2015,Total,55 - 59,"Ang Mo Kio- Total",13800
2015,Total,55 - 59,"Bedok- Total",23380
2015,Total,55 - 59,"Bishan- Total",7700
2015,Total,55 - 59,"Bukit Batok- Total",11770
2015,Total,55 - 59,"Bukit Merah- Total",11740
2015,Total,55 - 59,"Bukit Panjang- Total",10680
2015,Total,55 - 59,"Bukit Timah- Total",5330
2015,Total,55 - 59,"Changi- Total",120
2015,Total,55 - 59,"Choa Chu Kang- Total",12910
2015,Total,55 - 59,"Clementi- Total",6550
2015,Total,55 - 59,"Downtown Core- Total",280
2015,Total,55 - 59,"Geylang- Total",9620
2015,Total,55 - 59,"Hougang- Total",19270
